rider_id,start_hour,end_hour,zone_id
1,8,17,69
2,9,20,81
3,11,22,27
4,10,18,55
5,11,16,48
6,7,20,4
7,11,21,12
8,6,18,34
9,8,19,60
10,9,22,8
11,10,18,69
12,6,16,36
13,9,18,24
14,10,17,90
15,10,21,90
16,6,18,28
17,10,20,46
18,10,21,91
19,11,22,61
20,6,19,3
21,9,22,44
22,8,18,64
23,9,17,44
24,7,19,51
25,7,16,76
26,8,20,16
27,8,20,24
28,8,16,20
29,8,17,54
30,9,18,38
31,11,21,86
32,9,16,12
33,9,19,70
34,9,21,81
35,11,21,88
36,11,19,15
37,7,17,15
38,9,22,27
39,8,18,25
40,7,18,89
41,8,20,75
42,10,16,39
43,8,19,6
44,10,21,52
45,11,16,68
46,7,22,16
47,6,18,89
48,6,18,1
49,10,16,65
50,8,21,28
51,11,16,48
52,9,16,17
53,6,20,22
54,7,19,45
55,6,18,56
56,7,20,43
57,7,22,98
58,11,19,19
59,10,19,7
60,7,18,45
61,10,17,48
62,8,16,32
63,7,21,92
64,11,18,88
65,11,21,7
66,8,19,54
67,9,18,50
68,11,21,34
69,6,19,59
70,7,19,8
71,7,17,92
72,10,21,21
73,8,16,54
74,10,16,44
75,11,18,59
76,10,21,77
77,11,19,89
78,9,22,20
79,11,17,70
80,7,19,33
81,10,18,91
82,10,17,14
83,10,20,39
84,9,16,47
85,7,20,72
86,8,19,53
87,8,22,71
88,8,18,29
89,7,16,84
90,7,17,12
91,7,16,9
92,10,17,11
93,11,19,20
94,7,21,57
95,10,17,42
96,6,16,79
97,8,22,76
98,9,19,50
99,7,18,87
100,10,22,26
101,6,21,48
102,7,21,3
103,9,18,59
104,8,19,67
105,9,16,53
106,11,16,40
107,9,22,9
108,7,22,50
109,6,22,18
110,10,19,71
111,6,17,19
112,6,18,43
113,11,21,54
114,10,19,53
115,9,20,84
116,8,22,78
117,7,16,38
118,8,18,27
119,7,18,3
120,11,21,51
121,9,22,1
122,9,19,45
123,11,19,96
124,10,18,72
125,11,18,27
126,8,16,47
127,6,21,25
128,7,21,26
129,9,21,26
130,7,18,1
131,11,19,76
132,6,19,62
133,7,18,97
134,8,19,68
135,8,20,48
136,6,20,45
137,7,16,87
138,10,19,61
139,9,20,92
140,9,21,64
141,11,16,6
142,9,20,3
143,10,18,29
144,10,20,52
145,7,20,97
146,9,17,69
147,6,20,14
148,7,20,40
149,8,19,21
150,7,20,34
151,10,17,88
152,9,19,27
153,11,19,16
154,6,19,10
155,8,16,23
156,9,19,8
157,6,17,6
158,10,17,53
159,11,22,44
160,11,19,12
161,11,22,64
162,6,17,23
163,7,20,56
164,9,16,90
165,7,18,16
166,9,22,75
167,11,16,86
168,9,22,19
169,8,18,83
170,11,20,95
171,7,22,30
172,9,22,98
173,6,18,81
174,8,21,11
175,9,17,84
176,11,22,27
177,10,20,80
178,10,17,56
179,9,20,37
180,10,18,15
181,6,16,56
182,10,20,81
183,9,20,4
184,6,20,97
185,8,18,8
186,10,19,73
187,6,18,44
188,6,22,37
189,8,17,32
190,9,18,71
191,11,17,81
192,9,16,24
193,10,22,90
194,6,19,27
195,11,17,6
196,7,17,92
197,10,20,97
198,8,21,38
199,8,17,64
200,11,16,1
201,8,20,92
202,7,19,61
203,6,18,73
204,7,17,79
205,11,18,98
206,6,20,62
207,9,22,22
208,7,17,41
209,10,17,54
210,9,20,6
211,6,18,44
212,8,18,66
213,9,19,61
214,10,22,1
215,11,21,87
216,6,17,68
217,6,17,92
218,6,20,98
219,7,19,61
220,11,22,59
221,9,21,6
222,7,20,20
223,9,16,75
224,9,18,18
225,10,20,74
226,10,19,64
227,11,20,91
228,11,20,65
229,8,18,49
230,9,17,10
231,11,16,91
232,10,16,83
233,6,16,69
234,6,21,97
235,10,20,94
236,8,20,35
237,8,17,23
238,7,22,1
239,7,18,65
240,11,22,38
241,10,19,49
242,7,20,10
243,9,22,39
244,11,20,38
245,11,22,33
246,11,16,42
247,10,17,52
248,11,16,56
249,8,19,44
250,7,20,36
251,6,16,8
252,11,22,48
253,11,18,83
254,8,19,92
255,9,22,83
256,11,18,61
257,10,18,5
258,8,22,97
259,11,16,45
260,11,22,10
261,9,22,62
262,6,18,83
263,8,18,90
264,6,20,87
265,6,21,59
266,9,22,28
267,6,17,83
268,6,20,29
269,9,17,74
270,11,20,79
271,8,20,53
272,7,19,86
273,6,22,82
274,10,16,8
275,10,16,34
